crew_id,name,born_year,death_year,profession,known_for
nm0002172,Mukul Anand,1951,1997,director|writer|producer,tt0104607|tt0102201|tt0098999|tt0092026
nm0002411,Mani Kaul,1944,2011,director|writer|actor,tt0207626|tt0066514|tt0070009|tt0102515
nm0004292,Raj Kapoor,1924,1988,actor|producer|director,tt0066070|tt0152139|tt0058547|tt0084532
nm0004433,Shammi Kapoor,1931,2011,actor|director,tt0084866|tt1839596|tt0231226|tt0147925
nm0004434,Shashi Kapoor,1938,2017,actor|producer|assistant_director,tt0072860|tt0077783|tt0080982|tt0101283
nm0004466,E.V.V. Satyanarayana,1956,2011,director|writer|producer,tt1606217|tt1791479|tt1258121|tt0282554
nm0004570,Sunil Dutt,1930,2005,actor|producer|director,tt0067668|tt0059354|tt0063404|tt0057332
nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
nm0006348,Rajendra Kumar,1929,1999,actor|producer|miscellaneous,tt0234141|tt0246286|tt0139157|tt0058921
nm0006358,Shobhna Samarth,1916,2000,actress|director,tt0331297|tt0156360|tt0233586|tt0233303
nm0006371,Mehboob Khan,1907,1964,director|producer|actor,tt0044318|tt0232674|tt0038302|tt0050188
nm0007147,Dev Anand,1923,2011,actor|producer|director,tt0053980|tt0059246|tt0066241|tt0051806
nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
nm0007815,Khwaja Ahmad Abbas,1914,1987,writer|director|producer,tt0152400|tt0064915|tt0050820|tt0044360
nm0008943,John Abraham,1937,1987,director|writer|assistant_director,tt0077131|tt0090634|tt0078961|tt0078463
nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
nm0024061,K. Amarnath,1914,1983,director|producer|writer,tt0154700|tt0154264|tt0154863|tt0154312
nm0025399,Kamal Amrohi,1918,1993,writer|director|music_department,tt0067546|tt0045666|tt0152148|tt0041619
nm0025608,Chetan Anand,1921,1997,director|writer|actor,tt0154942|tt0154749|tt0154565|tt0140784
nm0025629,Vijay Anand,1934,2004,writer|actor|director,tt0059246|tt0154685|tt0155088|tt0154265
nm0030533,Nisar Ahmad Ansari,1917,1993,actor|director|producer,tt0154695|tt0154236|tt0256063|tt0155370
nm0037023,Prem Narayan Arora,1912,1985,producer|director,tt0154943|tt0154731|tt0154413|tt0139303
nm0039339,K. Asif,1922,1971,director|producer|writer,tt0091439|tt0133014|tt0054098|tt0037174
nm0049335,K. Balachander,1930,2014,director|writer|producer,tt0155124|tt0155256|tt0082314|tt0154159
nm0049416,S.S. Balan,1936,2014,director|producer,tt2061666|tt0061370|tt0293634|tt0284248
nm0052677,Bapu,1933,2014,director|writer|miscellaneous,tt0155855|tt1453939|tt1783377|tt0156082
nm0065991,Vishram Bedekar,1906,1998,director|writer|producer,tt0362070|tt0156128|tt0037209|tt0133188
nm0066066,Narendra Bedi,1937,1982,director|writer|miscellaneous,tt0455070|tt0155846|tt0075632|tt0071205
nm0066074,Rajinder Singh Bedi,1915,1984,writer|director|producer,tt0059445|tt0137455|tt0175908|tt0050665
nm0080173,Master Bhagwan,1913,2002,actor|director|writer,tt0137349|tt1309415|tt0155517|tt0155541
nm0080320,Nanabhai Bhatt,1915,1999,director|writer|producer,tt0139705|tt0384268|tt0156783|tt0156254
nm0080332,Vijay Bhatt,1907,1993,director|producer|miscellaneous,tt0044392|tt0156606|tt0139419|tt0156576
nm0080345,Basu Bhattacharya,1934,1997,director|producer|writer,tt0156258|tt0061072|tt0156290|tt0079938
nm0080405,Bhimsain,1936,2018,director|producer|writer,tt0156534|tt0150718|tt6998554|tt3295870
nm0080406,A. Bhimsingh,1924,1978,director|writer|editorial_department,tt0156879|tt0156651|tt0059354|tt0063533
nm0097887,Nitin Bose,1897,1986,director|cinematographer|writer,tt0028786|tt0273527|tt0156468|tt0054910
nm0097899,Satyen Bose,1916,1993,director|writer|producer,tt0147036|tt0146645|tt0156342|tt0156923
nm0109279,Brij,1933,1990,director|producer|miscellaneous,tt0158331|tt0158375|tt0158314|tt0061206
nm0147203,John Cawas,1910,1993,actor|writer|director,tt0032395|tt0451805|tt0242832|tt0390654
nm0149810,Amiya Chakrabarty,1912,1957,director|writer|producer,tt0044527|tt0157524|tt0146266|tt0130489
nm0149850,Pramod Chakravorty,1929,2004,director|producer|assistant_director,tt0157944|tt0157844|tt0157337|tt0070253
nm0151192,Tapi Chanakya,1925,1973,director|writer|assistant_director,tt0157581|tt0157841|tt0158158|tt0157432
nm0154206,Kartick Chattopadhyay,1912,1989,director,tt0157454|tt0158022|tt0049708|tt0157726
nm0158332,Leela Chitnis,1909,2003,actress|director|music_department,tt0031527|tt0270274|tt0270273|tt0052154
nm0159148,B.R. Chopra,1914,2008,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
nm0159162,Ravi Chopra,1946,2014,director|producer|writer,tt0158534|tt0158451|tt0337578|tt0158694
nm0201897,K.S.R. Das,1936,2012,director|writer|editor,tt1360879|tt1360170|tt0454411|tt0499246
nm0201927,Narayana Rao Dasari,1947,2017,director|writer|actor,tt0251834|tt0280845|tt0262781|tt0262447
nm0202545,Ravindra Dave,1919,1992,director|producer,tt0212857|tt0213105|tt0212745|tt0052082
nm0220813,Dhirubhai Desai,1908,1990,director|sound_department|producer,tt0213476|tt0214082|tt0213966|tt0213602
nm0220820,Jayant Desai,1909,1976,director|writer|producer,tt0214188|tt0213447|tt0213564|tt0214135
nm0220828,Manmohan Desai,1937,1994,director|producer|writer,tt0213773|tt0082797|tt0089552|tt0213524
nm0221222,Sulabha Deshpande,1937,2016,actress|director,tt2181931|tt3122380|tt0115009|tt2748972
nm0234389,Chaturbhuj Doshi,1894,1969,director|writer,tt0177477|tt0214090|tt0214135|tt0213979
nm0244870,Guru Dutt,1925,1964,actor|director|producer,tt0045529|tt0043307|tt0056436|tt0050870
nm0244898,O.P. Dutta,1921,2012,writer|director,tt0250690|tt0118751|tt0215034|tt0089201
nm0265752,Latif Faiziyev,1929,1994,director|writer|actor,tt0152509|tt0170416|tt0170644|tt0170456
nm0268909,Sheikh Fattelal,1897,1964,director|cinematographer|art_director,tt0028217|tt0273632|tt0158700|tt0158915
nm0269807,Sibtain Fazli,1916,1985,director,tt0214578|tt0252386|tt0362143|tt0150422
nm0304356,Anil Ganguly,1933,2016,director|writer|producer,tt0165972|tt0290179|tt1459912|tt0363583
nm0315916,Rituparno Ghosh,1963,2013,writer|director|music_department,tt0368969|tt1461674|tt1555754|tt0405266
nm0324389,Devendra Goel,1919,1979,director|producer|writer,tt0214653|tt0178202|tt0175564|tt0130649
nm0329716,K.S. Gopalakrishnan,1929,2015,director|writer|producer,tt0215916|tt0214583|tt0214839|tt0351632
nm0346618,Dulal Guha,1928,2001,director|writer|producer,tt0216110|tt0059023|tt0215714|tt0216171
nm0348136,Gunjal,1904,1968,director|producer,tt0390912|tt0216007|tt0215742|tt0215522
nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
nm0403826,Nasir Hussain,1926,2002,writer|director|producer,tt0230348|tt0104561|tt0066888|tt0095936
nm0403967,M.F. Hussain,1915,2011,writer|director|art_department,tt1756673|tt0232801|tt0221982|tt0366761
nm0408371,Shafi Inamdar,1945,1996,actor|director|writer,tt0294230|tt0099652|tt0135666|tt0286705
nm0410870,B.R. Ishara,1934,2012,director|writer|assistant_director,tt0230313|tt0230607|tt0231204|tt0230389
nm0411186,Ishwarlal,1911,1969,actor|director|producer,tt0230410|tt0175785|tt0230700|tt0231732
nm0419365,Nandlal Jaswantlal,1907,1961,director|producer,tt0139583|tt0045506|tt0048410|tt0230384
nm0423660,Vasant Joglekar,1914,1993,director|producer|actor,tt0230176|tt0230418|tt0230213|tt0056805
nm0424102,I.S. Johar,1920,1984,actor|writer|director,tt0077413|tt0231592|tt0154685|tt0056172
nm0437031,S.R. Puttana Kanagal,1933,1985,director|writer,tt0231455|tt0232152|tt0232515|tt0232977
nm0438029,Raj Kanwar,1961,2012,director|writer|producer,tt0444840|tt0272062|tt0116690|tt0286724
nm0438479,Kedar Kapoor,1927,1987,director|producer,tt0231344|tt0232288|tt0232583|tt1350913
nm0439074,Abdul Rashid Kardar,1904,1989,director|producer|writer,tt0231218|tt0232253|tt0048816|tt0130643
nm0439784,Girish Karnad,1938,2019,actor|writer|director,tt0076089|tt0078030|tt0075747|tt2016894
nm0440605,D.D. Kashyap,1910,1988,director|writer|producer,tt0139303|tt0232624|tt0232066|tt0231215
nm0442390,Arun Kaul,1933,2007,director|miscellaneous|writer,tt0091256|tt0068531|tt0097045|tt0246567
nm0442391,Awtar Krishna Kaul,1939,1974,director|writer|assistant_director,tt0065484|tt0071083
nm0442395,Mahesh Kaul,1911,1972,director|producer|writer,tt0062897|tt0176074|tt0232759|tt0231817
nm0451166,Amjad Khan,1940,1992,actor|director|composer,tt0073707|tt0231416|tt0083349|tt0243395
nm0451211,Feroz Khan,1939,2009,actor|producer|director,tt0413984|tt0175450|tt0210920|tt0366630
nm0451261,Mazhar Khan,1953,1998,actor|producer|director,tt0116391|tt0155408|tt0081491|tt4406418
nm0451846,Raj Khosla,1925,1991,director|writer|producer,tt0073569|tt0231150|tt0055949|tt0151466
nm0464880,Dada Kondke,1932,1998,director|actor|writer,tt0232264|tt0231771|tt0232783|tt0231140
nm0471443,Manmohan Krishna,1922,1990,actor|director|writer,tt0052736|tt0150251|tt0239452|tt0374033
nm0471487,R. Krishnan,1909,1997,director,tt0234700|tt0233650|tt0234195|tt0234959
nm0474797,Dharam Kumar,1919,1993,director,tt0176110|tt0213737|tt0214059|tt2761622
nm0474806,Gulshan Kumar,1951,1997,producer|actor|miscellaneous,tt0101733|tt0439464|tt1156148|tt6836936
nm0474822,Kishore Kumar,1929,1987,music_department|soundtrack|actor,tt0084385|tt0065416|tt0077451|tt0073707
nm0474839,Mohan Kumar,1934,2017,writer|producer|director,tt0233202|tt0053566|tt0178192|tt0233182
nm0474850,Pradeep Kumar,1925,2001,actor|producer|director,tt0057555|tt0242636|tt0060319|tt0129370
nm0482425,K.B. Lall,1911,1975,director|writer|producer,tt0141534|tt0176101|tt0139416|tt0134701
nm0490178,Shaheed Latif,1913,1967,director|writer,tt0235094|tt0052220|tt0060145|tt0042207
